Game Number,AI1 [NB] Wins,AI1 [NB] Losses,AI1 [NB] Draws,AI1 [NB] Win Percentage,AI1 [NB] Cumulative Game Reward,AI1 [NB] Reward/Game Average,AI2 [NB] Wins,AI2 [NB] Losses,AI2 [NB] Draws,AI2 [NB] Win Percentage,AI2 [NB] Cumulative Game Reward,AI2 [NB] Reward/Game Average
1,1,0,0,1,200,200,0,1,0,0,-200,-200
2,1,1,0,0.5,0,0,1,1,0,0.5,0,0
3,2,1,0,0.667,100,33.333,1,2,0,0.333,-100,-33.333
4,3,1,0,0.75,200,50,1,3,0,0.25,-200,-50
5,3,2,0,0.6,100,20,2,3,0,0.4,-100,-20
6,3,3,0,0.5,-100,-16.667,3,3,0,0.5,100,16.667
7,3,4,0,0.429,-900,-128.571,4,3,0,0.571,900,128.571
8,3,5,0,0.375,-1100,-137.5,5,3,0,0.625,1100,137.5
9,4,5,0,0.444,-300,-33.333,5,4,0,0.556,300,33.333
10,5,5,0,0.5,-100,-10,5,5,0,0.5,100,10
11,6,5,0,0.545,100,9.091,5,6,0,0.455,-100,-9.091
12,7,5,0,0.583,300,25,5,7,0,0.417,-300,-25
13,7,6,0,0.538,100,7.692,6,7,0,0.462,-100,-7.692
14,8,6,0,0.571,300,21.429,6,8,0,0.429,-300,-21.429
15,9,6,0,0.6,500,33.333,6,9,0,0.4,-500,-33.333
16,10,6,0,0.625,1300,81.25,6,10,0,0.375,-1300,-81.25
17,11,6,0,0.647,1500,88.235,6,11,0,0.353,-1500,-88.235
18,12,6,0,0.667,2300,127.778,6,12,0,0.333,-2300,-127.778
19,12,6,1,0.632,2300,121.053,6,12,1,0.316,-2300,-121.053
20,12,6,2,0.6,2300,115,6,12,2,0.3,-2300,-115
21,13,6,2,0.619,2500,119.048,6,13,2,0.286,-2500,-119.048
22,14,6,2,0.636,2700,122.727,6,14,2,0.273,-2700,-122.727
23,14,7,2,0.609,2500,108.696,7,14,2,0.304,-2500,-108.696
24,15,7,2,0.625,2600,108.333,7,15,2,0.292,-2600,-108.333
25,16,7,2,0.64,2700,108,7,16,2,0.28,-2700,-108
26,16,8,2,0.615,1900,73.077,8,16,2,0.308,-1900,-73.077
27,17,8,2,0.63,2100,77.778,8,17,2,0.296,-2100,-77.778
28,18,8,2,0.643,2300,82.143,8,18,2,0.286,-2300,-82.143
29,18,9,2,0.621,2100,72.414,9,18,2,0.31,-2100,-72.414
30,19,9,2,0.633,2900,96.667,9,19,2,0.3,-2900,-96.667
31,19,10,2,0.613,2700,87.097,10,19,2,0.323,-2700,-87.097
32,19,11,2,0.594,2600,81.25,11,19,2,0.344,-2600,-81.25
33,19,12,2,0.576,1800,54.545,12,19,2,0.364,-1800,-54.545
34,20,12,2,0.588,2600,76.471,12,20,2,0.353,-2600,-76.471
35,20,12,3,0.571,2600,74.286,12,20,3,0.343,-2600,-74.286
36,20,13,3,0.556,2400,66.667,13,20,3,0.361,-2400,-66.667
37,20,14,3,0.541,2200,59.459,14,20,3,0.378,-2200,-59.459
38,20,15,3,0.526,2000,52.632,15,20,3,0.395,-2000,-52.632
39,20,16,3,0.513,1200,30.769,16,20,3,0.41,-1200,-30.769
40,21,16,3,0.525,1300,32.5,16,21,3,0.4,-1300,-32.5
41,22,16,3,0.537,2100,51.22,16,22,3,0.39,-2100,-51.22
42,23,16,3,0.548,2200,52.381,16,23,3,0.381,-2200,-52.381
43,23,17,3,0.535,1400,32.558,17,23,3,0.395,-1400,-32.558
44,23,18,3,0.523,1200,27.273,18,23,3,0.409,-1200,-27.273
45,23,18,4,0.511,1200,26.667,18,23,4,0.4,-1200,-26.667
46,24,18,4,0.522,1400,30.435,18,24,4,0.391,-1400,-30.435
47,25,18,4,0.532,1600,34.043,18,25,4,0.383,-1600,-34.043
48,25,19,4,0.521,1400,29.167,19,25,4,0.396,-1400,-29.167
49,26,19,4,0.531,1600,32.653,19,26,4,0.388,-1600,-32.653
50,27,19,4,0.54,2400,48,19,27,4,0.38,-2400,-48
51,27,20,4,0.529,2200,43.137,20,27,4,0.392,-2200,-43.137
52,27,21,4,0.519,1400,26.923,21,27,4,0.404,-1400,-26.923
53,27,22,4,0.509,1200,22.642,22,27,4,0.415,-1200,-22.642
54,28,22,4,0.519,1400,25.926,22,28,4,0.407,-1400,-25.926
55,29,22,4,0.527,1600,29.091,22,29,4,0.4,-1600,-29.091
56,29,23,4,0.518,1400,25,23,29,4,0.411,-1400,-25
57,30,23,4,0.526,1500,26.316,23,30,4,0.404,-1500,-26.316
58,30,23,5,0.517,1500,25.862,23,30,5,0.397,-1500,-25.862
59,31,23,5,0.525,1700,28.814,23,31,5,0.39,-1700,-28.814
60,31,24,5,0.517,1500,25,24,31,5,0.4,-1500,-25
61,32,24,5,0.525,1700,27.869,24,32,5,0.393,-1700,-27.869
62,33,24,5,0.532,1900,30.645,24,33,5,0.387,-1900,-30.645
63,33,25,5,0.524,1800,28.571,25,33,5,0.397,-1800,-28.571
64,33,26,5,0.516,1600,25,26,33,5,0.406,-1600,-25
65,33,26,6,0.508,1600,24.615,26,33,6,0.4,-1600,-24.615
66,33,27,6,0.5,800,12.121,27,33,6,0.409,-800,-12.121
67,33,28,6,0.493,600,8.955,28,33,6,0.418,-600,-8.955
68,33,29,6,0.485,400,5.882,29,33,6,0.426,-400,-5.882
69,34,29,6,0.493,600,8.696,29,34,6,0.42,-600,-8.696
70,34,30,6,0.486,500,7.143,30,34,6,0.429,-500,-7.143
71,34,31,6,0.479,300,4.225,31,34,6,0.437,-300,-4.225
72,35,31,6,0.486,500,6.944,31,35,6,0.431,-500,-6.944
73,36,31,6,0.493,700,9.589,31,36,6,0.425,-700,-9.589
74,37,31,6,0.5,900,12.162,31,37,6,0.419,-900,-12.162
75,38,31,6,0.507,1700,22.667,31,38,6,0.413,-1700,-22.667
76,38,32,6,0.5,1500,19.737,32,38,6,0.421,-1500,-19.737
77,39,32,6,0.506,2300,29.87,32,39,6,0.416,-2300,-29.87
78,40,32,6,0.513,2500,32.051,32,40,6,0.41,-2500,-32.051
79,40,33,6,0.506,2300,29.114,33,40,6,0.418,-2300,-29.114
80,41,33,6,0.512,2400,30,33,41,6,0.412,-2400,-30
81,41,33,7,0.506,2400,29.63,33,41,7,0.407,-2400,-29.63
82,42,33,7,0.512,3200,39.024,33,42,7,0.402,-3200,-39.024
83,43,33,7,0.518,3400,40.964,33,43,7,0.398,-3400,-40.964
84,44,33,7,0.524,3600,42.857,33,44,7,0.393,-3600,-42.857
85,44,34,7,0.518,3400,40,34,44,7,0.4,-3400,-40
86,44,35,7,0.512,3200,37.209,35,44,7,0.407,-3200,-37.209
87,44,36,7,0.506,3000,34.483,36,44,7,0.414,-3000,-34.483
88,44,37,7,0.5,2900,32.955,37,44,7,0.42,-2900,-32.955
89,44,38,7,0.494,2800,31.461,38,44,7,0.427,-2800,-31.461
90,44,39,7,0.489,2600,28.889,39,44,7,0.433,-2600,-28.889
91,44,40,7,0.484,1800,19.78,40,44,7,0.44,-1800,-19.78
92,45,40,7,0.489,2000,21.739,40,45,7,0.435,-2000,-21.739
93,46,40,7,0.495,2800,30.108,40,46,7,0.43,-2800,-30.108
94,47,40,7,0.5,3000,31.915,40,47,7,0.426,-3000,-31.915
95,47,41,7,0.495,2800,29.474,41,47,7,0.432,-2800,-29.474
96,48,41,7,0.5,3000,31.25,41,48,7,0.427,-3000,-31.25
97,49,41,7,0.505,3200,32.99,41,49,7,0.423,-3200,-32.99
98,50,41,7,0.51,3400,34.694,41,50,7,0.418,-3400,-34.694
99,50,42,7,0.505,2600,26.263,42,50,7,0.424,-2600,-26.263
100,51,42,7,0.51,2700,27,42,51,7,0.42,-2700,-27
